client_ID;age;gender;marital_status;SPC_ID;Industry_sector;Market_type;Affiliated_agency;Monthly_income;Monthly_debt_payments;Monthly_spending;Assets_worth;Employment_Stability;Credit_Score
1;68;female;married;024;Retirees and Pensioners;B2B Market (Business-to-Business);47;3844;0;2306;113511.0;14;766
2;43;male;divorced;016;Private Sector Management;B2B Market (Business-to-Business);144;6856;2742;2468;106712.0;11;714
3;21;female;married;040;Self-Employed Professionals;B2B Market (Business-to-Business);183;3679;1471;1545;21497.5;2;717
4;23;female;single;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);28;4714;0;3299;32589.0;0;617
5;21;male;single;050;Merchants and Traders;B2C Market (Business-to-Consumer);138;2721;0;1904;23803.5;0;668
6;70;female;divorced;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);200;3931;1179;1651;123036.0;11;698
7;43;female;married;000;Armed forces;B2B Market (Business-to-Business);183;1524;0;1066;36088.0;2;765
8;41;male;married;033;Healthcare;B2B Market (Business-to-Business);195;5332;2132;2240;87972.0;15;697
9;33;female;married;025;Retirees and Pensioners;B2B Market (Business-to-Business);187;4880;1952;1756;53617.0;14;749
10;32;female;married;025;Retirees and Pensioners;B2B Market (Business-to-Business);155;4176;1670;1503;51555.0;11;714
11;29;male;divorced;039;Self-Employed Professionals;B2B Market (Business-to-Business);168;4129;1651;1734;42254.5;10;627
12;38;male;divorced;021;Private Sector Technical and Support;B2B Market (Business-to-Business);115;3745;0;2247;56037.0;14;677
13;54;male;divorced;003;Public Administration;B2B Market (Business-to-Business);226;3222;0;2255;73947.0;22;673
14;20;female;single;066;Legal Activities;B2C Market (Business-to-Consumer);162;5482;2192;1974;28585.0;2;615
15;37;female;married;026;Self-Employed Artisans and Traders;B2B Market (Business-to-Business);118;3925;1570;1413;61873.5;10;635
16;25;female;single;015;Public Administration;B2B Market (Business-to-Business);151;3329;998;1631;32338.5;7;657
17;27;male;divorced;054;Merchants and Traders;B2C Market (Business-to-Consumer);42;3654;0;2557;35488.0;5;651
18;36;female;married;062;Agriculture and Fishing;B2B Market (Business-to-Business);129;2794;0;1955;43378.0;12;665
19;82;female;married;069;Retirees and Pensioners;B2C Market (Business-to-Consumer);116;4684;1405;2295;170618.0;2;706
